id,start,end,label,category,region,certainty,uncertainty,source,link
gvp-17011,1500 BC,,Ata eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282070
gvp-17014,650 BC,,Ata eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282070
gvp-17015,270 BC,,Ata eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282070
gvp-17016,80 BC,,Ata eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282070
gvp-17018,130,,Ata eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282070
gvp-17019,150,,Ata eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282070
gvp-17022,600,,Ata eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282070
gvp-17023,660,,Ata eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282070
gvp-17024,720,,Ata eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282070
gvp-17025,770,,Ata eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282070
gvp-17028,874-03-29,874-07,Ata eruption (VEI 4),nature,ASIA_EAST,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282070
gvp-17030,885-08-29,885-09-28,Ata eruption (VEI 4),nature,ASIA_EAST,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282070
gvp-17041,3050 BC,,Aira eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282080
gvp-17042,2900 BC,,Aira eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282080
gvp-17047,764-01,,Aira eruption (VEI 4),nature,ASIA_EAST,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282080
gvp-17051,1471-11-03,1476-10-08,Aira eruption (VEI 5),nature,ASIA_EAST,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282080
gvp-17061,1779-11-08,1781-05,Aira eruption (VEI 4),nature,ASIA_EAST,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=282080
