id,start,end,label,category,region,certainty,uncertainty,source,link
critique-of-pure-reason-1781,1781,,Critique of Pure Reason,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
the-world-as-will-and-representation-1818,1818,,The World as Will and Representation,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
a-treatise-of-human-nature-1739,1739,,A Treatise of Human Nature,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
an-enquiry-concerning-human-understanding-1748,1748,,An Enquiry Concerning Human Understanding,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
the-phenomenology-of-spirit-1807,1807,,The Phenomenology of Spirit,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
the-prince-1532,1532,,The Prince,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
the-republic-380bc,380 BC,,The Republic,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
leviathan-1651,1651,,Leviathan,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
a-treatise-concerning-the-principles-of-human-knowledge-1710,1710,,A Treatise Concerning the Principles of Human Knowledge,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
discourse-on-the-method-1637,1637,,Discourse on the Method,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
thus-spoke-zarathustra-1883,1883,,Thus Spoke Zarathustra,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
shiji-completed,91 BC,,Sima Qian completes the Shiji,thought,ASIA_EAST,approx,5,Book of Han; Shiji,https://en.wikipedia.org/wiki/Shiji
earliest-maya-writing,100 BC,,San Bartolo murals and early Maya writing,thought,AMERICAS,contested,100,San Bartolo excavations,https://en.wikipedia.org/wiki/San_Bartolo_(Maya_site)
communist-manifesto,1848-02,,The Communist Manifesto published,thought,EUROPE,year,,Primary text,https://en.wikipedia.org/wiki/The_Communist_Manifesto
